,0
0,Wisconsin
1,Utah
2,Hawaii
3,Massachusetts
4,Kansas
5,South Dakota
6,Nebraska
7,Florida
8,Indiana
9,Mississippi
10,Oregon
11,Michigan
12,Montana
13,North Dakota
14,New York
15,North Carolina
16,Vermont
17,New Mexico
18,Alabama
19,Georgia
20,Arkansas
21,Nevada
22,South Carolina
23,Virginia
24,Idaho
25,New Jersey
26,Wyoming
27,Kentucky
28,Arizona
29,Colorado
30,Louisiana
31,Pennsylvania
32,Maine
33,New Hampshire
34,Illinois
35,Tennessee
36,Rhode Island
37,Connecticut
38,Minnesota
39,West Virginia
40,Maryland
41,Alaska
42,Iowa
43,Oklahoma
